scene,i,j,pi_xyz,pj_xyz,unet_ij_db,unet_ji_db,unet_absdiff_db,unet_valid,sionna_ij_db,sionna_ji_db,sionna_absdiff_db,sionna_valid
random_004,4,13,"7.500,30.625,0.312","22.500,20.625,0.312",85.2568359375,81.86869812011719,3.3881378173828125,1,83.30176544189453,78.82220458984375,4.479560852050781,1
random_004,4,14,"7.500,30.625,0.312","34.375,21.875,1.562",84.94512939453125,86.11602020263672,1.1708908081054688,1,75.039306640625,74.33798217773438,0.701324462890625,1
random_004,4,15,"7.500,30.625,0.312","4.375,32.500,2.188",58.77411651611328,58.82284164428711,0.048725128173828125,1,59.992897033691406,59.973445892333984,0.019451141357421875,1
random_004,4,16,"7.500,30.625,0.312","26.875,31.875,0.312",72.49336242675781,72.77639770507812,0.2830352783203125,1,73.98423767089844,73.8401107788086,0.14412689208984375,1
random_004,4,17,"7.500,30.625,0.312","31.875,36.875,0.938",87.51463317871094,75.30084228515625,12.213790893554688,1,73.1429672241211,72.15312957763672,0.989837646484375,1
random_004,4,18,"7.500,30.625,0.312","16.875,3.750,2.188",94.33258819580078,81.7966537475586,12.535934448242188,1,78.2443618774414,77.77653503417969,0.46782684326171875,1
random_004,4,19,"7.500,30.625,0.312","18.125,27.500,0.938",76.5069580078125,68.81682586669922,7.690132141113281,1,68.94237518310547,69.08161926269531,0.13924407958984375,1
random_004,4,20,"7.500,30.625,0.312","3.750,37.500,0.938",64.22844696044922,63.82360076904297,0.40484619140625,1,63.98515701293945,63.41671371459961,0.5684432983398438,1
random_004,4,21,"7.500,30.625,0.312","24.375,6.875,1.562",90.29792785644531,82.74903869628906,7.54888916015625,1,76.4286117553711,75.8073501586914,0.6212615966796875,1
random_004,4,22,"7.500,30.625,0.312","22.500,3.750,1.562",94.68498992919922,86.84355163574219,7.841438293457031,1,78.94547271728516,79.87237548828125,0.9269027709960938,1
random_004,4,23,"7.500,30.625,0.312","25.625,3.750,0.938",95.59998321533203,86.16883087158203,9.43115234375,1,79.81829071044922,79.84339904785156,0.02510833740234375,1
random_004,4,24,"7.500,30.625,0.312","35.625,28.750,0.312",80.50946807861328,82.67891693115234,2.1694488525390625,1,77.97806549072266,76.06824493408203,1.909820556640625,1
random_004,4,25,"7.500,30.625,0.312","13.125,23.750,0.312",65.19642639160156,65.67642211914062,0.4799957275390625,1,63.94090270996094,64.734130859375,0.7932281494140625,1
random_004,4,26,"7.500,30.625,0.312","1.250,1.250,0.312",91.99838256835938,88.16431427001953,3.8340682983398438,1,79.85685729980469,79.33847045898438,0.5183868408203125,1
random_004,4,27,"7.500,30.625,0.312","36.250,25.000,0.312",85.4446029663086,85.79808807373047,0.353485107421875,1,79.20217895507812,81.60363006591797,2.4014511108398438,1
random_004,4,28,"7.500,30.625,0.312","25.000,2.500,2.188",94.9393539428711,86.82549285888672,8.113861083984375,1,79.94650268554688,81.03321838378906,1.0867156982421875,1
random_004,4,29,"7.500,30.625,0.312","4.375,9.375,0.938",90.6290283203125,85.16648864746094,5.4625396728515625,1,75.59498596191406,73.0921630859375,2.5028228759765625,1
random_004,5,6,"35.625,10.000,2.188","8.125,24.375,1.562",86.93043518066406,87.97311401367188,1.0426788330078125,1,81.40807342529297,82.1146469116211,0.706573486328125,1
random_004,5,7,"35.625,10.000,2.188","25.625,35.000,0.938",79.1640625,89.14303588867188,9.978973388671875,1,76.59880065917969,80.53241729736328,3.9336166381835938,1
random_004,5,8,"35.625,10.000,2.188","37.500,21.250,0.938",68.24441528320312,76.5153579711914,8.270942687988281,1,67.53599548339844,67.72147369384766,0.18547821044921875,1
random_004,5,9,"35.625,10.000,2.188","26.875,1.250,1.562",71.0171127319336,72.20899963378906,1.1918869018554688,1,70.18778991699219,70.27059936523438,0.0828094482421875,1
random_004,5,10,"35.625,10.000,2.188","23.125,11.250,1.562",67.77564239501953,67.12872314453125,0.6469192504882812,1,66.75028991699219,67.01237487792969,0.2620849609375,1
random_004,5,11,"35.625,10.000,2.188","15.000,10.625,0.938",70.77361297607422,71.36029815673828,0.5866851806640625,1,70.15343475341797,70.29631805419922,0.14288330078125,1
