scene,i,j,pi_xyz,pj_xyz,unet_ij_tau_rms_ns,unet_ji_tau_rms_ns,unet_absdiff_tau_rms_ns,unet_valid,sionna_ij_tau_rms_ns,sionna_ji_tau_rms_ns,sionna_absdiff_tau_rms_ns,sionna_valid
random_000,2,19,"35.000,13.750,2.188","8.750,11.250,1.562",19.905675888061523,16.48508644104004,3.4205894470214844,1,29.998973846435547,27.81424903869629,2.184724807739258,1
random_000,2,20,"35.000,13.750,2.188","38.125,23.750,2.188",11.250005722045898,9.44869613647461,1.801309585571289,1,19.299142837524414,18.38637351989746,0.9127693176269531,1
random_000,2,21,"35.000,13.750,2.188","1.250,10.625,0.938",19.01677894592285,15.000530242919922,4.01624870300293,1,25.49448585510254,26.245954513549805,0.7514686584472656,1
random_000,2,22,"35.000,13.750,2.188","10.625,6.875,0.312",16.09200668334961,16.742496490478516,0.6504898071289062,1,25.016788482666016,27.058334350585938,2.041545867919922,1
random_000,2,23,"35.000,13.750,2.188","25.625,2.500,0.312",13.232178688049316,13.420391082763672,0.18821239471435547,1,23.999452590942383,24.139272689819336,0.13982009887695312,1
random_000,2,24,"35.000,13.750,2.188","28.125,26.875,0.938",11.72334098815918,12.016135215759277,0.29279422760009766,1,22.362215042114258,22.031980514526367,0.3302345275878906,1
random_000,2,25,"35.000,13.750,2.188","28.750,32.500,0.938",11.7938871383667,10.257518768310547,1.5363683700561523,1,21.193933486938477,19.08198356628418,2.111949920654297,1
random_000,2,26,"35.000,13.750,2.188","7.500,31.875,0.312",20.18543815612793,20.21904945373535,0.033611297607421875,1,34.27291488647461,30.741500854492188,3.531414031982422,1
random_000,2,27,"35.000,13.750,2.188","28.750,12.500,0.312",9.584640502929688,10.847541809082031,1.2629013061523438,1,17.93231964111328,17.336483001708984,0.5958366394042969,1
random_000,2,28,"35.000,13.750,2.188","5.000,32.500,2.188",20.363161087036133,19.130229949951172,1.232931137084961,1,31.957258224487305,30.67974853515625,1.2775096893310547,1
random_000,2,29,"35.000,13.750,2.188","28.125,33.125,0.312",11.753168106079102,10.704883575439453,1.0482845306396484,1,20.61208724975586,20.042922973632812,0.5691642761230469,1
